,dof_1,dof_2,dof_3,dof_4,dof_5,dof_6,dof_7,dof_8,dof_9,dof_10
base_value_0.34,0.5597506992586161,0.8436074263840596,0.9523113731550057,0.9870780771296479,0.9968193860684286,0.9992779623971298,0.9998471420489335,0.9999695658703431,0.9999942633307851,0.9999989707799185
base_value_0.35,0.5540338584644349,0.8393982373218192,0.9503383667557392,0.9863517102423058,0.9965923943340895,0.9992152845525725,0.9998314718955986,0.9999659599908467,0.9999934905811483,0.9999988151833482
base_value_0.36,0.5484262404761933,0.8352100500573436,0.9483469549999981,0.9856080182549445,0.9963566446187022,0.9991492518861811,0.9998147255036028,0.9999620510237103,0.9999926408295281,0.999998641621138
base_value_0.37,0.5429235742437373,0.8310427598019184,0.9463377639044195,0.9848471921382079,0.9961120903598192,0.9990797951705276,0.9997968644271457,0.99995782356888,0.9999917089942455,0.9999984486323291
base_value_0.38,0.5375218672124302,0.8268962622896743,0.9443113957581569,0.9840694213883519,0.9958586882909621,0.99900684647276,0.9997778501882143,0.9999532619609678,0.9999906898270635,0.9999982346857476
base_value_0.39,0.5322173801303861,0.8227704537749772,0.942268430566638,0.9832748940372026,0.9955963983104483,0.998930339140811,0.9997576442928584,0.999948350277,0.9999895779138983,0.99999799817905
base_value_0.4,0.5270066047278252,0.8186652310298332,0.9402094273697674,0.9824637966620527,0.995325183357755,0.9988502077897258,0.9997362082467496,0.9999430723440591,0.9999883676756065,0.9999977374378133
base_value_0.41,0.5218862438773523,0.8145804913413062,0.9381349254485281,0.9816363143954955,0.9950450092967947,0.9987663882881069,0.9997135035700618,0.9999374117468189,0.9999870533688442,0.9999974507146651
base_value_0.42,0.51685319390547,0.8105161325089465,0.9360454454320666,0.9807926309351959,0.9947558448055395,0.9986788177446758,0.9996894918117137,0.9999313518349755,0.9999856290869943,0.9999971361884576
base_value_0.43,0.5119045287762704,0.8064720528422358,0.9339414903157813,0.979932928553601,0.9944576612714935,0.9985874344949494,0.9996641345630014,0.9999248757305735,0.999984088761159,0.9999967919634815
base_value_0.44,0.5070374859100848,0.802448151158041,0.9318235463995866,0.9790573881075898,0.9941504326925642,0.9984921780880324,0.9996373934706575,0.9999179663352304,0.9999824261612138,0.9999964160687197
base_value_0.45,0.5022494534346433,0.7984443267780839,0.9296920841543932,0.9781661890480607,0.9938341355829271,0.9983929892735234,0.9996092302493617,0.9999106063372585,0.9999806348969201,0.9999960064571416
base_value_0.46,0.4975379586953087,0.7944604795264215,0.9275475590238637,0.9772595094294596,0.9935087488835193,0.9982898099885327,0.9995796066937316,0.999902778218687,0.9999787084190929,0.9999955610050354
base_value_0.47,0.49290065787525905,0.7904965097269399,0.9253904121676698,0.9763375259192476,0.9931742538768312,0.998182583344814,0.9995484846898176,0.9998944642621838,0.9999766400208219,0.9999950775113788
base_value_0.48,0.4883353265969632,0.7865523182008604,0.9232210711517506,0.9754004138073095,0.9928306341056982,0.9980712536160068,0.9995158262261253,0.9998856465578793,0.9999744228387425,0.9999945536972474
base_value_0.49,0.48383985139356833,0.7826278062642578,0.921039950590446,0.9744483470153014,0.9924778752958181,0.997955766224988,0.999481593404188,0.9998763070100931,0.9999720498543538,0.9999939872052589
base_value_0.5,0.47941222195348887,0.7787228757255916,0.9188474527448425,0.9734814981059416,0.9921159652817496,0.9978360677313356,0.999445748448707,0.9998664273439635,0.9999695138953827,0.9999933755990548
base_value_0.51,0.47505052405395287,0.7748374288832494,0.9166439680811906,0.9725000382922415,0.9917448939361632,0.9977121058188987,0.9994082537172827,0.9998559891119817,0.9999668076371895,0.9999927163628162
base_value_0.52,0.4707529331099185,0.7709713685231014,0.9144298757928419,0.9715041374466772,0.9913646531021391,0.9975838292834768,0.999369071709749,0.9998449737004329,0.9999639236042149,0.9999920069008152
base_value_0.53,0.4665177082738955,0.7671245979160697,0.912205544288795,0.9704939641103059,0.9909752365283231,0.9974511880206063,0.9993281650771325,0.9998333623357423,0.9999608541714659,0.9999912445370005
base_value_0.54,0.4623431870300605,0.7632970208157066,0.9099713316516221,0.9694696855018219,0.9905766398067654,0.9973141330134522,0.9992854966302502,0.9998211360907298,0.9999575915660363,0.9999904265146156
base_value_0.55,0.4582277802328004,0.7594885414557877,0.9077275860672661,0.9684314675265576,0.9901688603132833,0.9971726163208061,0.9992410293479591,0.9998082758907736,0.9999541278686633,0.9999895499958509
base_value_0.56,0.4541699675456845,0.7556990645479147,0.9054746462289552,0.9673794747854259,0.989751897150201,0.9970265910651893,0.9991947263850743,0.9997947625198824,0.9999504550153163,0.9999886120615276
base_value_0.57,0.45016829324191265,0.7519284952791323,0.9032128417172628,0.9663138705838069,0.9893257510913289,0.996876011421058,0.9991465510799679,0.9997805766266791,0.999946564798816,0.9999876097108132
base_value_0.58,0.4462213623317117,0.7481767393095555,0.9009424933581471,0.9652348169403789,0.9888904245290596,0.9967208326031134,0.9990964669618586,0.9997656987302953,0.9999424488704826,0.9999865398609682
base_value_0.59,0.44232783698597633,0.7444437027700093,0.8986639135606339,0.9641424745958922,0.9884459214234617,0.9965610108547134,0.999044437757809,0.9997501092261795,0.9999380987418119,0.9999853993471234
base_value_0.6,0.4384864332288235,0.7407292922596793,0.8963774066356517,0.963037003021888,0.9879922472532644,0.9963965034363851,0.9989904273994364,0.999733788391817,0.9999335057861772,0.9999841849220865
